Plate Number,Well ID,Sample Type,Standards,Sample_ID,Dilution factor,Assay Type
1,A1,standard,A,NA,NA,Total protein - Catalase
1,A2,standard,A,NA,NA,Total protein - Catalase
1,A3,blank,I,NA,NA,Total protein - Catalase
1,A4,blank,I,NA,NA,Total protein - Catalase
1,A5,sample,NA,T3A1,0,Total protein - Catalase
1,A6,sample,NA,T3A1,0,Total protein - Catalase
1,A7,sample,NA,T0BL4,0,Total protein - Catalase
1,A8,sample,NA,T0BL4,0,Total protein - Catalase
1,A9,sample,NA,T0BL3,0,Total protein - Catalase
1,A10,sample,NA,T0BL3,0,Total protein - Catalase
1,A11,sample,NA,T1B6,0,Total protein - Catalase
1,A12,sample,NA,T1B6,0,Total protein - Catalase
1,B1,standard,B,NA,NA,Total protein - Catalase
1,B2,standard,B,NA,NA,Total protein - Catalase
1,B3,sample,NA,T3B2,0,Total protein - Catalase
1,B4,sample,NA,T3B2,0,Total protein - Catalase
1,B5,sample,NA,T3D1,0,Total protein - Catalase
1,B6,sample,NA,T3D1,0,Total protein - Catalase
1,B7,sample,NA,T1A3,0,Total protein - Catalase
1,B8,sample,NA,T1A3,0,Total protein - Catalase
1,B9,sample,NA,T3B3,0,Total protein - Catalase
1,B10,sample,NA,T3B3,0,Total protein - Catalase
1,B11,sample,NA,T1B2,0,Total protein - Catalase
1,B12,sample,NA,T1B2,0,Total protein - Catalase
1,C1,standard,C,NA,NA,Total protein - Catalase
1,C2,standard,C,NA,NA,Total protein - Catalase
1,C3,sample,NA,T3A2,0,Total protein - Catalase
1,C4,sample,NA,T3A2,0,Total protein - Catalase
1,C5,sample,NA,T3D3,0,Total protein - Catalase
1,C6,sample,NA,T3D3,0,Total protein - Catalase
1,C7,sample,NA,T1A1,0,Total protein - Catalase
1,C8,sample,NA,T1A1,0,Total protein - Catalase
1,C9,sample,NA,T0BL6,0,Total protein - Catalase
1,C10,sample,NA,T0BL6,0,Total protein - Catalase
1,C11,sample,NA,T1C1,0,Total protein - Catalase
1,C12,sample,NA,T1C1,0,Total protein - Catalase
1,D1,standard,D,NA,NA,Total protein - Catalase
1,D2,standard,D,NA,NA,Total protein - Catalase
1,D3,sample,NA,T3B6,0,Total protein - Catalase
1,D4,sample,NA,T3B6,0,Total protein - Catalase
1,D5,sample,NA,T3C3,0,Total protein - Catalase
1,D6,sample,NA,T3C3,0,Total protein - Catalase
1,D7,sample,NA,T3A4,0,Total protein - Catalase
1,D8,sample,NA,T3A4,0,Total protein - Catalase
1,D9,sample,NA,T1A5,0,Total protein - Catalase
1,D10,sample,NA,T1A5,0,Total protein - Catalase
1,D11,sample,NA,T2A5,0,Total protein - Catalase
1,D12,sample,NA,T2A5,0,Total protein - Catalase
1,E1,standard,E,NA,NA,Total protein - Catalase
1,E2,standard,E,NA,NA,Total protein - Catalase
1,E3,sample,NA,T3D2,0,Total protein - Catalase
1,E4,sample,NA,T3D2,0,Total protein - Catalase
1,E5,sample,NA,T3C1,0,Total protein - Catalase
1,E6,sample,NA,T3C1,0,Total protein - Catalase
1,E7,sample,NA,T1A2,0,Total protein - Catalase
1,E8,sample,NA,T1A2,0,Total protein - Catalase
1,E9,sample,NA,T1A4,0,Total protein - Catalase
