"","Plate","Sample_ID","TP_Absorbance_562nm","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"1",1,"T0BL3",1.8675,1.7386,965.078994305072,24.1269748576268
"2",1,"T1B6",2.5744,2.4455,1355.42831169351,33.8857077923377
"3",1,"T1B6",2.3311,2.2022,1221.90207947684,30.5475519869211
"4",1,"T3A1",2.2389,2.11,1171.07782881316,29.2769457203291
"5",1,"T3A1",2.2438,2.1149,1173.78202097914,29.3445505244786
"6",1,"T0BL4",1.8208,1.6919,939.030773385176,23.4757693346294
"7",1,"T0BL4",1.8181,1.6892,937.523765902907,23.4380941475727
"8",1,"T0BL3",1.9134,1.7845,990.648968437438,24.766224210936
"9",1,"T3B3",2.1117,1.9828,1100.75592575902,27.5188981439755
"10",1,"T1B2",1.6984,1.5695,870.601915360369,21.7650478840092
"11",1,"T1B2",2.1882,2.0593,1143.07707808189,28.5769269520472
"12",1,"T3B2",2.489,2.3601,1308.65654121924,32.716413530481
"13",1,"T3B2",2.4671,2.3382,1296.64555456353,32.4161388640882
"14",1,"T3D1",2.0257,1.8968,1053.07593661959,26.3268984154899
"15",1,"T3D1",1.9816,1.8527,1028.58345014326,25.7145862535815
"16",1,"T1A3",2.0622,1.9333,1073.3256070993,26.8331401774825
"17",1,"T1A3",2.5165,2.3876,1323.72909136345,33.0932272840862
"18",1,"T3B3",2.097,1.9681,1092.61373803862,27.3153434509655
"19",1,"T0BL6",2.161,2.0321,1128.03943062489,28.2009857656223
"20",1,"T1C1",2.7245,2.5956,1437.38356120581,35.9345890301452
"21",1,"T1C1",2.3381,2.2092,1225.75570106263,30.6438925265656
"22",1,"T3A2",1.9539,1.825,1013.18443985461,25.3296109963653
"23",1,"T3A2",1.6852,1.5563,863.208700112389,21.5802175028097
"24",1,"T3D3",2.1341,2.0052,1113.15693079691,27.8289232699228
"25",1,"T3D3",2.0961,1.9672,1092.11513294341,27.3028783235852
"26",1,"T1A1",2.1549,2.026,1124.66552313265,28.1166380783164
"27",1,"T1A1",2.4982,2.3693,1313.70020034349,32.8425050085871
"28",1,"T0BL6",1.8091,1.6802,932.499610929425,23.3124902732356
"29",1,"T1A5",2.3542,2.2253,1234.61633287212,30.8654083218031
"30",1,"T2A5",2.5861,2.4572,1361.82804685922,34.0457011714804
"31",1,"T2A5",2.175,2.0461,1135.78075460243,28.3945188650607
"32",1,"T3B6",2.6141,2.4852,1377.13574589254,34.4283936473135
