"","Plate","Sample_ID","Treatment","Time","Dilution.factor","Cat_Absorbance_560nm","TotalProtein_ug","Catalase_UmL","Catalase_UmL_ng_protein"
"1",2,"BL1","Baseline","Baseline",25,0.3247,21.1225165858943,1.0650103546729,1260.51546739478
"2",2,"BL1","Baseline","Baseline",1,0.0695,21.1225165858943,4.54685902225137,215.261235741568
"3",2,"BL2","Baseline","Baseline",25,0.2552,25.2229018420454,1.52943059460138,1515.91458843555
"4",2,"BL2","Baseline","Baseline",1,0.0732,25.2229018420454,4.44416153639556,176.195489489134
"5",2,"BL3","Baseline","Baseline",25,0.0902,31.5703061519963,4.00303489451573,3169.93670828134
"6",2,"BL3","Baseline","Baseline",1,0.0717,31.5703061519963,4.48549575098033,142.079577226295
"7",2,"BL4","Baseline","Baseline",25,0.131,26.178990619133,3.12484358369631,2984.11389227943
"8",2,"BL4","Baseline","Baseline",1,0.0706,26.178990619133,4.5160667973582,172.507292701255
"9",2,"BL5","Baseline","Baseline",25,0.0619,16.3502172795791,4.76577964880875,7287.02800598415
"10",2,"BL5","Baseline","Baseline",1,0.0794,16.3502172795791,4.27755940065252,261.620951422772
"11",2,"BL6","Baseline","Baseline",25,0.1289,20.1238532785466,3.16454314628452,3931.3335056688
"12",2,"BL6","Baseline","Baseline",1,0.0699,20.1238532785466,4.53563615791895,225.386067724626
"13",1,"T1-A1","Control","1",1,0.0699,43.7228877809938,4.76141996209422,108.899942427041
"14",1,"T1-A1","Control","1",5,0.0543,43.7228877809938,5.15765579328488,589.811887439751
"15",1,"T1-A2","Control","1",1,0.0681,26.7182230006885,4.80544845825268,179.856589194905
"16",1,"T1-A2","Control","1",5,0.0544,26.7182230006885,5.15500765529983,964.698822815984
"17",1,"T1-A3","Control","1",1,0.0698,22.3892800162875,4.76385473817805,212.773913887025
"18",1,"T1-A3","Control","1",5,0.0543,22.3892800162875,5.15765579328488,1151.81367813812
"19",1,"T1-A4","OA","1",1,0.0687,22.0862472557829,4.79072454477059,216.909848435941
"20",1,"T1-A4","OA","1",5,0.056,22.0862472557829,5.11283204790263,1157.46962095698
"21",1,"T1-A5","OA","1",1,0.075,29.7132731620681,4.63897990309124,156.124836122509
"22",1,"T1-A5","OA","1",5,0.0567,29.7132731620681,5.09449490772729,857.275952053459
"23",1,"T1-A6","OA","1",1,0.0715,17.3610725970379,4.72264246606067,272.02480950782
"24",1,"T1-A6","OA","1",5,0.0558,17.3610725970379,5.1180840206533,1474.01146791084
"25",2,"T1-HW1",NA,"1",25,0.1362,28.3572730717237,3.02885956994809,2670.26695610614
"26",2,"T1-HW1",NA,"1",1,0.0802,28.3572730717237,4.25655124354426,150.104392364464
"27",2,"T1-HW2",NA,"1",25,0.1018,24.3762767393266,3.72903374346083,3824.44967225524
"28",2,"T1-HW2",NA,"1",1,0.0843,24.3762767393266,4.15059627588281,170.271954173649
"29",2,"T1-HW3",NA,"1",25,0.17,25.4113025586227,2.47871247957025,2438.59250608266
"30",2,"T1-HW3",NA,"1",1,0.0769,25.4113025586227,4.34392430723267,170.944574651828
"31",2,"T1-HW4",NA,"1",25,0.1008,26.9881764964881,3.7518427307361,3475.45038030294
"32",2,"T1-HW4",NA,"1",1,0.0949,26.9881764964881,3.88950138244115,144.118717429734
"33",2,"T1-HW5",NA,"1",25,0.1482,28.6976834047624,2.81945275862507,2456.16755789875
"34",2,"T1-HW5",NA,"1",1,0.0782,28.6976834047624,4.30927887549565,150.161210391656
"35",2,"T1-HW6",NA,"1",25,0.3515,34.377444392109,0.935343337684884,680.20133129761
"36",2,"T1-HW6",NA,"1",1,0.0883,34.377444392109,4.04993326486168,117.807863163654
"37",1,"T1-OA1","Control","1",5,0.0684,19.2351812193634,4.79808051681558,1247.21479410486
"38",1,"T1-OA1","Control","1",1,0.0663,19.2351812193634,4.84990855699792,252.137398742867
"39",1,"T1-OA2","Control","1",5,0.0613,32.2841675818836,4.97570892137846,770.611307966727
"40",1,"T1-OA2","Control","1",1,0.1014,32.2841675818836,4.05654979236297,125.651367100427
"41",1,"T1-OA3","Control","1",5,0.0561,25.3399854038624,5.11020819547855,1008.32895402924
"42",1,"T1-OA3","Control","1",1,0.0795,25.3399854038624,4.53371943817779,178.915629426004
"43",1,"T1-OA4","OA","1",5,0.0652,26.9940542333812,4.87729289946289,903.401330029107
"44",1,"T1-OA4","OA","1",1,0.097,26.9940542333812,4.14792793865676,153.660798885385
"45",1,"T1-OA5","OA","1",5,0.0548,31.0023183705516,5.14442944323267,829.684635475398
"46",1,"T1-OA5","OA","1",1,0.0752,31.0023183705516,4.63424694811325,149.480657953478
"47",1,"T1-OA6","OA","1",5,0.0857,28.1304853243116,4.3928353009902,780.796216337176
"48",1,"T1-OA6","OA","1",1,0.1155,28.1304853243116,3.77798073062087,134.302010330258
"49",1,"T2-A1","Control","2",5,0.0524,25.4094986250923,5.20824405722044,1024.86163423886
"50",1,"T2-A1","Control","2",1,0.0645,25.4094986250923,4.89480448924423,192.636799390072
"51",1,"T2-A2","Control","2",5,0.0782,36.8397405050954,4.56386479419455,619.421409003046
"52",1,"T2-A2","Control","2",1,0.0738,36.8397405050954,4.66748561706635,126.697027532558
"53",1,"T2-A3","Control","2",5,0.0535,37.457660631138,5.17889264210761,691.299530569518
"54",1,"T2-A3","Control","2",1,0.0758,37.457660631138,4.62007882448226,123.34136052911
"55",1,"T2-A4","OA","2",5,0.0569,35.7462401298585,5.08926848927348,711.860669931335
"56",1,"T2-A4","OA","2",1,0.074,35.7462401298585,4.66272178159363,130.439502578592
"57",1,"T2-A5","OA","2",5,0.0963,36.171969657349,4.16266732786974,575.399593566784
"58",1,"T2-A5","OA","2",1,0.0673,36.171969657349,4.82515496732878,133.394863841717
"59",1,"T2-A6","OA","2",5,0.0573,36.1061691526484,5.07883263170983,703.319231990206
