"","Plate","Treatment","Time","Sample_ID","N","Catalase_UmL_ng_protein","sd","se","ci"
"1",1,"Control","1","T1-A1",2,349.355914933396,340.056097472099,240.455972506355,3055.28281670174
"2",1,"Control","1","T1-A2",2,572.277706005444,554.967265555062,392.42111681054,4986.18305299304
"3",1,"Control","1","T1-A3",2,682.293796012571,664.001385105764,469.519882125546,5965.8157499918
"4",1,"Control","1","T1-OA1",2,749.676096423862,703.625974065911,497.538697680995,6321.82855690445
"5",1,"Control","1","T1-OA2",2,448.131337533577,456.055547780235,322.47997043315,4097.49652763916
"6",1,"Control","1","T1-OA3",2,593.622291727622,586.483786233427,414.706662301618,5269.34775666001
"7",1,"Control","2","T2-A1",2,608.749216814466,588.471824193432,416.112417424394,5287.20956905893
"8",1,"Control","2","T2-A2",2,373.059218267802,348.40875139373,246.362190735244,3130.32843473453
"9",1,"Control","2","T2-A3",2,407.320445549314,401.607073465875,283.979085020204,3608.29639505827
"10",1,"Control","2","T2-OA1",2,407.709541235383,404.374118331786,285.935681208737,3633.15730681579
"11",1,"Control","2","T2-OA2",2,455.278521395336,451.054883494534,318.943966806293,4052.56734160847
"12",1,"Control","2","T2-OA3",2,471.197359158048,459.638092450301,325.013212063257,4129.68441443751
"13",1,"Control","3","T3-A1",2,426.039059666619,413.320962634581,292.262055485464,3713.54151361355
"14",1,"Control","3","T3-A2",2,495.832831486086,456.350166130175,322.688297066254,4100.14356849138
"15",1,"Control","3","T3-A3",2,815.567433970655,808.307315953111,571.559584393142,7262.35309822218
"16",1,"OA","1","T1-A4",2,687.189734696459,665.076193260901,470.279886260518,5975.47251813109
"17",1,"OA","1","T1-A5",2,506.700394087984,495.78870871129,350.575557965475,4454.484815008
"18",1,"OA","1","T1-A6",2,873.01813870933,849.932917052534,600.99332920151,7636.34428590962
"19",1,"OA","1","T1-OA4",2,528.531064457246,530.14661370213,374.870265571861,4763.17834386025
"20",1,"OA","1","T1-OA5",2,489.582646714438,480.976845095812,340.10198876096,4321.40550037694
"21",1,"OA","1","T1-OA6",2,457.549113333717,457.140437065305,323.247103003459,4107.2438711373
"22",1,"OA","2","T2-A4",2,421.150086254963,411.126850160523,290.710583676371,3693.82819516482
"23",1,"OA","2","T2-A5",2,354.39722870425,312.544541705123,221.002364862534,2808.10129512214
"24",1,"OA","2","T2-A6",2,416.725736788358,405.304407802362,286.593495201848,3641.51562609058
"25",1,"OA","2","T2-OA4",2,438.688002314848,416.661253243651,294.623997626271,3743.55283402965
"26",1,"OA","2","T2-OA5",2,429.177047481888,419.863320742835,296.888201268761,3772.32226907551
"27",1,"OA","2","T2-OA6",2,368.343858967072,363.248398705799,256.855405980025,3263.65737597547
"28",1,"OA","3","T3-A4",2,415.931206920473,414.904026345353,293.381450570401,3727.76477674344
"29",1,"OA","3","T3-A5",2,356.090167241017,306.979173247145,217.067055086096,2758.09844340244
"30",1,"OA","3","T3-A6",2,328.315772256522,293.36533699311,207.440619152905,2635.78297755565
"31",2,"Baseline","Baseline","BL1",2,737.888351568175,739.106355265923,522.627115826607,6640.60713436936
"32",2,"Baseline","Baseline","BL2",2,846.055038962339,947.324459750139,669.859549473206,8511.3725800883
"33",2,"Baseline","Baseline","BL3",2,1656.00814275382,2141.01830983307,1513.92856552752,19236.286309536
"34",2,"Baseline","Baseline","BL4",2,1578.31059249034,1988.10609259058,1405.80329978909,17862.4245459101
"35",2,"Baseline","Baseline","BL5",2,3774.32447870346,4967.71296887616,3512.70352728069,44633.1301951115
"36",2,"Baseline","Baseline","BL6",2,2078.35978669671,2620.50056409123,1852.97371897208,23544.2634440103
"37",2,"Control","3","T3-OA1",2,1466.95516205265,1886.28058519758,1333.80179301374,16947.5586595094
"38",2,"Control","3","T3-OA2",2,1531.24247777633,2015.26065725941,1425.00447660659,18106.3986297288
"39",2,"Control","3","T3-OA3",2,505.92543922643,516.431094434719,365.17192889038,4639.949292385
"40",2,"OA","3","T3-OA4",2,1378.72025541319,1756.09980575585,1241.75008109034,15777.9307614954
"41",2,"OA","3","T3-OA5",2,1689.38584830304,2224.99530716535,1573.30926980486,19990.7896954621
"42",2,"OA","3","T3-OA6",2,1622.89718395098,2124.5500558383,1502.28375145352,19088.324917797
"43",2,NA,"1","T1-HW1",2,1410.1856742353,1782.02403851421,1260.08128187084,16010.8507516723
