"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"1",2,"BL1","Baseline","Baseline",0.4718,21.1225165858943,9.3527422434526,442.785413632881
"2",2,"BL1","Baseline","Baseline",0.3041,21.1225165858943,6.91962658177762,327.594799305239
"3",2,"BL2","Baseline","Baseline",0.3463,25.2229018420454,7.63555585031076,302.72313226001
"4",2,"BL2","Baseline","Baseline",0.2399,25.2229018420454,5.66728334498162,224.687999044365
"5",2,"BL3","Baseline","Baseline",0.3711,31.5703061519963,8.02091728775177,254.065236147372
"6",2,"BL3","Baseline","Baseline",0.2542,31.5703061519963,5.96468298161282,188.933327187125
"7",2,"BL4","Baseline","Baseline",0.3815,26.178990619133,8.1752381467248,312.282404836109
"8",2,"BL4","Baseline","Baseline",0.2386,26.178990619133,5.63969219315099,215.42817579182
"9",2,"BL5","Baseline","Baseline",0.5326,16.3502172795791,10.002776446004,611.782478175211
"10",2,"BL5","Baseline","Baseline",0.3823,16.3502172795791,8.18693627110239,500.723392913416
"11",2,"BL6","Baseline","Baseline",0.4135,20.1238532785466,8.6246125215233,428.576595254633
"12",2,"BL6","Baseline","Baseline",0.3062,20.1238532785466,6.95714973610572,345.71658020994
"13",1,"T1-A1","Control","1",0.1888,43.7228877809938,4.5090071464516,103.126929059147
"14",1,"T1-A1","Control","1",0.6268,43.7228877809938,10.8265693631351,247.617893341467
"15",1,"T1-A2","Control","1",0.3577,26.7182230006885,7.81579992518963,292.52693657764
"16",1,"T1-A2","Control","1",0.717,26.7182230006885,11.4464460625884,428.413448839523
"17",1,"T1-A3","Control","1",0.3536,22.3892800162875,7.75159238370447,346.218921647566
"18",1,"T1-A3","Control","1",0.7313,22.3892800162875,11.5319905383241,515.067502391095
"19",1,"T1-A4","OA","1",0.3263,22.0862472557829,7.30607731731959,330.79758787028
"20",1,"T1-A4","OA","1",0.7403,22.0862472557829,11.5842144310272,524.498992376082
"21",1,"T1-A5","OA","1",0.3447,29.7132731620681,7.60982625244383,256.108649186402
"22",1,"T1-A5","OA","1",0.7484,29.7132731620681,11.6301778210422,391.413553047709
