"","Plate","Sample_ID","Abs_562nm_raw","Abs_562nm_corrected","Dilution_factor","Volume_ul","TotalProtein_ug","TotalProtein_ug_mL"
"1",1,"T2B3",0.7481,0.6192,0,25,15.6235061940106,624.940247760423
"2",1,"T0BL2",0.7033,0.5744,0,25,14.542178857207,581.687154288279
"3",1,"T0BL2",0.598,0.4691,0,25,11.9115821030737,476.463284122949
"4",1,"T0BL5",0.4767,0.3478,0,25,8.7046830536718,348.187322146872
"5",1,"T0BL5",0.5349,0.406,0,25,10.2690113370727,410.76045348291
"6",1,"T2A2",0.9507,0.8218,0,25,20.2709612927439,810.838451709756
"7",1,"T2A2",0.9637,0.8348,0,25,20.5569482488377,822.277929953508
"8",1,"T2B3",0.8874,0.7585,0,25,18.8584967209746,754.339868838983
"9",1,"T1D1",0.7525,0.6236,0,25,15.7285719271126,629.142877084506
"10",1,"T1D2",0.8495,0.7206,0,25,17.9962779777267,719.851119109069
"11",1,"T1D2",0.4946,0.3657,0,25,9.1911296872028,367.645187488112
"12",1,"T2D1",0.6856,0.5567,0,25,14.1089783397654,564.359133590616
"13",1,"T2D1",0.7695,0.6406,0,25,16.1326526824453,645.306107297813
"14",1,"T3D2",0.7779,0.649,0,25,16.3312419111908,653.249676447632
"15",1,"T3D2",0.7779,0.649,0,25,16.3312419111908,653.249676447632
"16",1,"T2A3",0.9238,0.7949,0,25,19.6748199494095,786.992797976379
"17",1,"T2A3",0.9503,0.8214,0,25,20.2621400916913,810.485603667651
"18",1,"T1D1",0.7802,0.6513,0,25,16.3854950764185,655.419803056739
"19",1,"T2B2",0.8639,0.735,0,25,18.3253827783077,733.015311132308
"20",1,"T1B6",0.7899,0.661,0,25,16.6137276505318,664.549106021271
"21",1,"T1B6",0.8298,0.7009,0,25,17.5429836865927,701.719347463708
"22",1,"T2B5",0.8344,0.7055,0,25,17.6491492532665,705.965970130659
"23",1,"T2B5",0.8503,0.7214,0,25,18.0146107447534,720.584429790134
"24",1,"T2A1",0.6293,0.5004,0,25,12.7072891334055,508.29156533622
"25",1,"T2A1",0.6918,0.5629,0,25,14.2611160675345,570.444642701381
"26",1,"T1A1",1.0798,0.9509,0,25,23.0533336270702,922.133345082808
"27",1,"T1A1",1.067,0.9381,0,25,22.7829937008812,911.319748035247
"28",1,"T2B2",0.8875,0.7586,0,25,18.860754934635,754.430197385399
"29",1,"T2B6",1.0432,0.9143,0,25,22.2771996926497,891.087987705989
"30",1,"T3A5",1.0749,0.946,0,25,22.9499817613138,917.999270452551
"31",1,"T3A5",1.0648,0.9359,0,25,22.7364112906816,909.456451627265
"32",1,"T3A6",0.6282,0.4993,0,25,12.6795296255642,507.181185022568
"33",1,"T3A6",0.6703,0.5414,0,25,13.7316909118322,549.267636473288
"34",1,"T1B4",0.7035,0.5746,0,25,14.5470540410034,581.882161640135
"35",1,"T1B4",0.6957,0.5668,0,25,14.3565965402891,574.263861611565
"36",1,"T1B5",0.8058,0.6769,0,25,16.9858559195126,679.434236780502
"37",1,"T1B5",0.8403,0.7114,0,25,17.7850315022042,711.401260088166
"38",1,"T2B6",1.0078,0.8789,0,25,21.5171638652563,860.686554610252
"39",1,"T2B1",0.9095,0.7806,0,25,19.3554655244773,774.218620979093
"40",1,"T1C1",0.8584,0.7295,0,25,18.1999035277322,727.996141109289
"41",1,"T1C1",0.7975,0.6686,0,25,16.7919056843302,671.676227373209
"42",1,"T1A4",0.5669,0.438,0,25,11.1086374891911,444.345499567643
"43",1,"T1A4",0.5054,0.3765,0,25,9.48230474668775,379.29218986751
"44",1,"T0BL6",0.6578,0.5289,0,25,13.42146356857,536.8585427428
"45",1,"T0BL6",0.6583,0.5294,0,25,13.4339073884336,537.356295537345
"46",1,"T2C1",0.9314,0.8025,0,25,19.8438506362141,793.754025448564
"47",1,"T2C1",0.9166,0.7877,0,25,19.5142411142999,780.569644571996
"48",1,"T2B1",0.9291,0.8002,0,25,19.7927472239479,791.709888957915
"49",1,"T2D3",0.9806,0.8517,0,25,20.9267170700482,837.06868280193
"50",1,"T0BL4",0.8248,0.6959,0,25,17.4273628565753,697.094514263012
"51",1,"T0BL4",0.8184,0.6895,0,25,17.2790263091621,691.161052366485
"52",1,"T3B3",0.8017,0.6728,0,25,16.8901321413731,675.605285654926
"53",1,"T3B3",0.7741,0.6452,0,25,16.2414911292642,649.659645170568
"54",1,"T1A5",0.8392,0.7103,0,25,17.7597218611041,710.388874444162
"55",1,"T1A5",0.831,0.7021,0,25,17.5706979997451,702.827919989803
"56",1,"T2A4",0.9105,0.7816,0,25,19.3778540679661,775.114162718645
"57",1,"T2A4",0.9354,0.8065,0,25,19.9326219602035,797.30487840814
"58",1,"T2D3",0.982,0.8531,0,25,20.9572478353111,838.289913412445
"59",1,"T0BL3",0.8963,0.7674,0,25,19.0591383277703,762.365533110813
"60",1,"T1D3",0.9463,0.8174,0,25,20.1738566942608,806.95426777043
"61",1,"T1D3",0.9043,0.7754,0,25,19.2389081858265,769.556327433059
"62",1,"T1B3",0.4454,0.3165,0,25,7.84214088056517,313.685635222607
"63",1,"T1B3",0.4552,0.3263,0,25,8.11387254659126,324.55490186365
"64",1,"T0BL1",0.6512,0.5223,0,25,13.256931505901,530.277260236042
"65",1,"T0BL1",0.6576,0.5287,0,25,13.4164852255401,536.659409021605
"66",1,"T2C2",0.7096,0.5807,0,25,14.6955375524213,587.82150209685
"67",1,"T2C2",0.7494,0.6205,0,25,15.6545690691455,626.182762765821
"68",1,"T0BL3",0.8578,0.7289,0,25,18.1861984493579,727.447937974316
"69",1,"T2D2",0.8542,0.7253,0,25,18.1038998327396,724.155993309585
"70",1,"T3D1",1.0192,0.8903,0,25,21.7629458506101,870.517834024405
"71",1,"T3D1",1.0371,0.9082,0,25,22.1468982931646,885.875931726583
"72",1,"T1C2",0.6594,0.5305,0,25,13.4612735539795,538.450942159178
"73",1,"T1C2",0.6162,0.4873,0,25,12.3757388434827,495.029553739308
